titre_poste,entreprise,ville_normalized,region,type_contrat_normalized,modalite_travail,is_remote,is_hybrid,niveau_etudes_normalized,experience_requise,experience_years_min,experience_years_max,langue,secteur_activite,sous_secteur,fonction,soft_skills,tech_stack,tech_count,soft_skills_count,nbr_postes,date_limite,date_annee,job_id,is_agile_driven,has_corp_perks,is_remote_friendly
Profils Dot Net - Windows 8,Sqli Maroc,Oujda,Oriental,CDI,Télétravail,1,0,Bac,Junior (1 à 3 ans),1,3,,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Autonomie | Implication | Recherche de nouveauté | Réflexion,.NET | SQL Server | Sql,3,5,4.0,13/06/2017,2016,6EB0A0CB28,False,False,False
Ingénieur Etude et développement JAVA confirmé,Atos,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac,Intermédiaire (3 à 5 ans),3,5,,Informatique,Informatique / Electronique,Informatique / Electronique,Ambition | Analyse | Autonomie | Communication | Gestion de projet | Implication | Recherche de nouveauté | Réflexion,Java | Spring,2,8,10.0,23/06/2017,2016,A32C5D3440,False,False,False
"Concepteur/Développeur Oracle ( Report, Forms, PLSQL ) en CDI",Welink,Rabat,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac+5,Confirmé (5 à 10 ans),5,10,,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Analyse | Autonomie | Implication | Organisé | Recherche de nouveauté | Rigoureux | Réflexion | Écoute,Java | Javascript | Oracle | PL/SQL | Spring | Sql,6,9,2.0,01/06/2017,2016,5853365B82,False,False,False
Concepteur Développeur JEE Spring/Smart GWT en CDI,Welink,Rabat,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Analyse | Autonomie | Communication | Implication | Organisé | Recherche de nouveauté | Rigoureux | Réflexion | Écoute,Agile | Java | Javascript | PL/SQL | Rest | Soap | Spring | Sql,8,10,2.0,01/06/2017,2016,64700E2E2A,True,False,False
Développeur J2EE Senior (FREELANCE),Welink,Rabat,Rabat-Salé-Kénitra,Freelance,Télétravail,1,0,Bac+5,Confirmé (5 à 10 ans),5,10,,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Analyse | Autonomie | Communication | Implication | Recherche de nouveauté | Rigoureux | Réflexion,Jenkins | Soap,2,8,1.0,15/06/2017,2016,E725153DB8,False,False,False
Développeurs SAP ABAP,Capgemini,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Analyse | Autonomie | Implication | Recherche de nouveauté | Réflexion,Oracle | Sap | Sql,3,6,4.0,23/06/2017,2016,9A354C2860,False,False,False
Consultant Senior Finance SAP,Dxc Cdg,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Confirmé (5 à 10 ans),5,10,,Informatique,Informatique / Electronique,Informatique / Electronique,Ambition | Autonomie | Communication | Implication | Recherche de nouveauté | Rigoureux | Réflexion,Sap,1,7,1.0,23/06/2017,2016,4B44E1438C,False,False,False
Consultants et Experts Décisionnel MAP SAP ou BCP SAP,Dxc Cdg,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Confirmé (5 à 10 ans),5,10,,Informatique,Informatique / Electronique,Informatique / Electronique,Ambition | Autonomie | Communication | Implication | Recherche de nouveauté | Rigoureux | Réflexion,Sap,1,7,1.0,23/06/2017,2016,D257E8D4E5,False,False,False
Développeur Informatique,Cdg Capital,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Junior (1 à 3 ans),1,3,Anglais,Informatique / Electronique- Banque (métiers de la)- Secteur Banque / Finance,,,Ambition | Analyse | Autonomie | Communication | Curiosité | Flexibilité | Implication | Persuasion | Planification | Rigueur | Réflexion,Java | Mysql | Php,3,11,1.0,23/06/2017,2016,0FE444D340,False,False,False
Ingénieur Recette Applicative,Aria Tech,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Débutant (-1 an),1,1,,Internet / Multimédia- Informatique / Electronique- Secteur Informatique,,,Ambition | Analyse | Autonomie | Implication | Recherche de nouveauté | Réflexion,Java | Jira | Rest,3,6,2.0,23/06/2017,2016,BF929ADA1D,False,False,False
Consultant Senior ABAP Programmer SAP,Dxc Cdg,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Confirmé (5 à 10 ans),5,10,,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Autonomie | Communication | Implication | Recherche de nouveauté | Rigoureux | Réflexion,Java | Sap,2,7,1.0,23/06/2017,2016,78E4B33D4E,False,False,False
Consultants et Experts Marchandise et Master data SAP Retail,Dxc Cdg,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Confirmé (5 à 10 ans),5,10,,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Autonomie | Communication | Implication | Recherche de nouveauté | Rigoureux | Réflexion,Sap,1,7,1.0,23/06/2017,2016,6B25B80433,False,False,False
Développeurs Java JEE Confirmés (H/F),Oceane Consulting It Maroc,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Confirmé (5 à 10 ans),5,10,,Informatique,Informatique / Electronique,Informatique / Electronique,Ambition | Analyse | Autonomie | Implication | Recherche de nouveauté | Réflexion,Git | Java | Oracle | Spring,4,6,1.0,23/06/2017,2016,35969E3BE7,False,False,False
Ingénieurs Etudes et Développements .NET,Oceane Consulting It Maroc France,France,,CDI,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,,Informatique,Informatique / Electronique,Informatique / Electronique,Ambition | Autonomie | Implication | Proactif | Recherche de nouveauté | Rigoureux | Réflexion | Travail en équipe,.NET,1,8,5.0,23/06/2017,2016,0376F48DBE,False,False,False
Chargée d'accueil,Alten Maroc,Fès,Fès-Meknès,CDI,Télétravail,1,0,Bac,Junior (1 à 3 ans),1,3,Français,Assistanat de Direction / Services Généraux- Secteur Informatique,,,Communication | Flexibilité | Organisation,,0,3,1.0,23/06/2017,2016,8BF3B51E63,False,False,False
Chef de Projet Senior SAP,Dxc Cdg,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Confirmé (5 à 10 ans),5,10,,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Autonomie | Communication | Implication | Management | Recherche de nouveauté | Rigoureux | Réflexion,Sap,1,8,1.0,23/06/2017,2016,87F41D8ABF,False,False,False
Développeur Tibco Business Works,Atos,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Confirmé (5 à 10 ans),5,10,,Informatique / Electronique- Secteur Informatique,,,Ambition | Autonomie | Communication | Curiosité | Implication | Management | Organisation | Recherche de nouveauté | Rigueur | Réflexion | Écoute,Linux | Oracle | Rest | Soap,4,11,2.0,23/06/2017,2016,6BE5BC05A8,False,False,False
Ingénieurs Etudes et Développement JAVA JEE Confirmés,Oceane Consulting It Maroc France,France,,CDI,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,,Informatique,Informatique / Electronique,Informatique / Electronique,Ambition | Analyse | Autonomie | Implication | Recherche de nouveauté | Rigoureux | Réflexion,Angular | Java | Sap,3,7,4.0,25/04/2017,2016,62DC2EAFB4,False,False,False
Ingénieur Etudes et Développement Confirmé - PHP/JAVA,Cgi Technologies Et Solutions Maroc,Fès,Fès-Meknès,CDI,Télétravail,1,0,Bac+5,Junior (1 à 3 ans),1,3,Français,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Autonomie | Communication | Implication | Organisé | Recherche de nouveauté | Rigoureux | Réflexion,Java | Php,2,8,4.0,22/06/2017,2016,6061F1BDF2,False,False,False
Ingénieur Analyste Confirmé en JAVA / PHP,Cgi Technologies Et Solutions Maroc,Fès,Fès-Meknès,CDI,Télétravail,1,0,Bac+5,Confirmé (5 à 10 ans),5,10,,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Analyse | Autonomie | Implication | Organisé | Recherche de nouveauté | Rigoureux | Réflexion,Java | Php,2,8,4.0,22/06/2017,2016,38BF0D35C3,False,False,False
Telecom Software Architect (Java) - $5000/month - Work From Home,Crossover Global Remote Work,"Global, Remote Work",,CDI,Télétravail,1,0,Bac,Confirmé (5 à 10 ans),5,10,Anglais,Télécom / Réseaux- Internet / Multimédia- Secteur Informatique,,,Ambition | Autonomie | Communication | Implication | Leadership | Management | Recherche de nouveauté | Réflexion,Cassandra | Devops | Java | Linux | Mongodb | Mysql | Oracle | Php | Rest | Ruby | SQL Server | Spring | Sql,13,8,3.0,26/06/2017,2016,268ECB2037,True,False,True
AWS Migrations Devops Engineer - $5000/month - Work From Home,Crossover Global Remote Work,"Global, Remote Work",,CDI,Télétravail,1,0,Bac,Intermédiaire (3 à 5 ans),3,5,Anglais,Internet / Multimédia- Télécom / Réseaux- Secteur Informatique,,,Ambition | Autonomie | Communication | Implication | Management | Recherche de nouveauté | Réflexion,Agile | Aws | Devops | Linux | Mysql | Oracle | Postgres | SQL Server | Sql | Vmware,10,7,2.0,26/06/2017,2016,A4EE04ED98,True,False,True
Docker Chief Software Architect - $8250/month - Work From Home,Crossover Global Remote Work,"Global, Remote Work",,CDI,Télétravail,1,0,Bac,Confirmé (5 à 10 ans),5,10,Anglais,Internet / Multimédia- Télécom / Réseaux- Secteur Informatique,,,Ambition | Autonomie | Implication | Leadership | Management | Recherche de nouveauté | Réflexion,Ansible | Api | Aws | Devops | Docker,5,7,10.0,26/06/2017,2016,3E98F445D1,True,False,True
SAAS Software Engineering Manager - $8250/month - Work From Home,Crossover Global Remote Work,"Global, Remote Work",,CDI,Télétravail,1,0,Bac,Confirmé (5 à 10 ans),5,10,Anglais,Internet / Multimédia- Télécom / Réseaux- Secteur Informatique,,,Ambition | Autonomie | Communication | Implication | Leadership | Management | Recherche de nouveauté | Réflexion,Aws | Devops | Docker | Jira | Linux,5,8,10.0,26/06/2017,2016,B887F3BC22,True,False,True
Cloud Chief Software Architect - $8250/month - WORK FROM HOME,Crossover Global Remote Work,"Global, Remote Work",,CDI,Télétravail,1,0,Bac,Expert (10 à 20 ans),10,20,Anglais,Internet / Multimédia- Télécom / Réseaux- Secteur Informatique,,,Ambition | Autonomie | Implication | Leadership | Management | Recherche de nouveauté | Réflexion,Api | Aws | Devops | Docker,4,7,10.0,26/06/2017,2016,67EB9DE502,True,False,True
Senior Ruby Architect - $8250/month - Work from Home,Crossover Global Remote Work,"Global, Remote Work",,CDI,Télétravail,1,0,Bac,Confirmé (5 à 10 ans),5,10,Anglais,Internet / Multimédia- Télécom / Réseaux- Secteur Informatique,,,Ambition | Autonomie | Implication | Leadership | Management | Recherche de nouveauté | Réflexion,Javascript | React | Ruby,3,7,10.0,26/06/2017,2016,272FF344B9,False,False,False
Network/System Engineer with Ruby - $4150/month - Work from Home,Crossover Global Remote Work,"Global, Remote Work",,CDI,Télétravail,1,0,Bac,Confirmé (5 à 10 ans),5,10,Anglais,Internet / Multimédia- Télécom / Réseaux- Secteur Informatique,,,Ambition | Autonomie | Communication | Implication | Problem solving | Recherche de nouveauté | Réflexion,Api | Cybersécurité | Git | Linux | Rest | Ruby,6,7,4.0,26/06/2017,2016,DCC8D4F18C,False,False,True
Ruby on Rails Software Architect - $5000/month - Work From Home,Crossover Global Remote Work,"Global, Remote Work",,CDI,Télétravail,1,0,Bac,Confirmé (5 à 10 ans),5,10,Anglais,Internet / Multimédia- Télécom / Réseaux- Secteur Informatique,,,Ambition | Autonomie | Implication | Recherche de nouveauté | Réflexion,Javascript | Mysql | Python | Ruby,4,5,10.0,26/06/2017,2016,52CA73DAFE,False,False,True
Android Software Architect - $5000/month - Work From Home,Crossover Global Remote Work,"Global, Remote Work",,CDI,Télétravail,1,0,Bac,Confirmé (5 à 10 ans),5,10,Anglais,Internet / Multimédia- Télécom / Réseaux- Secteur Informatique,,,Ambition | Autonomie | Communication | Implication | Recherche de nouveauté | Réflexion,Agile | Android | Confluence | Git | Ios | Java | Javascript | Jira | Mysql | React | Rest | Soap | Swift,13,6,2.0,26/06/2017,2016,B7CB93212B,True,False,True
iOS Software Architect - $5000/month - Work From Home,Crossover Global Remote Work,"Global, Remote Work",,CDI,Télétravail,1,0,Bac,Confirmé (5 à 10 ans),5,10,Anglais,Internet / Multimédia- Télécom / Réseaux- Secteur Informatique,,,Ambition | Autonomie | Communication | Implication | Recherche de nouveauté | Réflexion,Agile | Android | Confluence | Git | Ios | Java | Javascript | Jira | Node.js | Php | Rest | Soap | Swift,13,6,4.0,26/06/2017,2016,D7E2D4C88A,True,False,True
C# Software Engineer with SharePoint - $3250/month - Work from Home,Crossover Global Remote Work,"Global, Remote Work",,CDI,Télétravail,1,0,Bac,Intermédiaire (3 à 5 ans),3,5,Anglais,Internet / Multimédia- Télécom / Réseaux- Secteur Informatique,,,Ambition | Autonomie | Communication | Implication | Leadership | Recherche de nouveauté | Réflexion,Cassandra | Devops | Hadoop | Java | Linux | Mongodb | Php | Rest | Ruby,9,7,2.0,26/06/2017,2016,5054C53E04,True,False,True
L2 Customer Support Engineer - $2500/month - Work from Home,Crossover Global Remote Work,"Global, Remote Work",,CDI,Télétravail,1,0,Bac,Intermédiaire (3 à 5 ans),3,5,Anglais | Espagnol | Allemand,Internet / Multimédia- Télécom / Réseaux- Secteur Informatique,,,Ambition | Autonomie | Communication | Implication | Management | Problem solving | Recherche de nouveauté | Réflexion,.NET | Java | Oracle | SQL Server | Sql,5,8,4.0,26/06/2017,2016,52BEA2000F,False,False,True
Demandware Senior Software Developer (Front End) - $6500/month - Work from home,Crossover Morocco,Morocco,,CDI,Télétravail,1,0,Bac,Confirmé (5 à 10 ans),5,10,Anglais,Internet / Multimédia- Télécom / Réseaux- Secteur Informatique,,,Ambition | Autonomie | Communication | Implication | Management | Problem solving | Recherche de nouveauté | Réflexion,Java | Sap,2,8,5.0,27/06/2017,2016,C9566BB4AA,False,False,True
L1 Customer Support Engineer - $1600/month - Work from home,Crossover Morocco,Morocco,,CDI,Télétravail,1,0,Bac,Junior (1 à 3 ans),1,3,Anglais | Espagnol | Allemand,Internet / Multimédia- Télécom / Réseaux- Secteur Informatique,,,Ambition | Autonomie | Communication | Implication | Management | Problem solving | Recherche de nouveauté | Réflexion,,0,8,2.0,26/06/2017,2016,C3E483A504,False,False,True
Full Stack Software Architect - $5000/month - WORK FROM HOME,Crossover Morocco,Morocco,,CDI,Télétravail,1,0,Bac,Confirmé (5 à 10 ans),5,10,Anglais,Internet / Multimédia- Télécom / Réseaux- Secteur Informatique,,,Ambition | Autonomie | Communication | Implication | Recherche de nouveauté | Réflexion,Agile | Angular | Devops | Java | Mongodb | Node.js | React | Ruby | Sql,9,6,5.0,26/06/2017,2016,90C5B9DDCE,True,False,True
Lisp Engineer - $2500/month - WORK FROM HOME,Crossover Morocco Tunisia,"Morocco, Tunisia",,CDI,Télétravail,1,0,Bac,Intermédiaire (3 à 5 ans),3,5,Anglais,Internet / Multimédia- Télécom / Réseaux- Secteur Informatique,,,Ambition | Autonomie | Communication | Implication | Recherche de nouveauté | Réflexion,Agile | Java | Jira | Linux | Oracle,5,6,3.0,26/06/2017,2016,1A9250872E,True,False,False
Android Software Engineer - $2500/month - Work From Home,Crossover Casablanca Global,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac,Intermédiaire (3 à 5 ans),3,5,Anglais,Internet / Multimédia- Télécom / Réseaux- Secteur Informatique,,,Ambition | Autonomie | Communication | Implication | Recherche de nouveauté | Réflexion,Android | Ios | Java | Rest | Soap | Swift,6,6,2.0,26/06/2017,2016,4D54F8081C,False,False,True
Software Engineering Manager - $8250/month - WORK FROM HOME,Crossover Morocco Tunisia,"Morocco, Tunisia",,CDI,Télétravail,1,0,Bac,Confirmé (5 à 10 ans),5,10,Anglais,Internet / Multimédia- Télécom / Réseaux- Secteur Informatique,,,Ambition | Autonomie | Implication | Leadership | Management | Recherche de nouveauté | Réflexion,Agile | Devops | Java | Php | Ruby,5,7,10.0,26/06/2017,2016,EE52EB43BF,True,False,False
Ingénieurs Concepteurs Développeurs .Net,Sqli Maroc,Rabat,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Autonomie | Implication | Recherche de nouveauté | Réflexion,.NET | SQL Server | Sql,3,5,10.0,21/06/2017,2016,8705C65DA3,False,False,False
PHP Software Architect - $5000/month - Work From Home,Crossover Global Remote Work,"Global, Remote Work",,CDI,Télétravail,1,0,Bac,Confirmé (5 à 10 ans),5,10,Anglais,Internet / Multimédia- Télécom / Réseaux- Secteur Informatique,,,Ambition | Autonomie | Communication | Implication | Leadership | Problem solving | Recherche de nouveauté | Réflexion,Javascript | Laravel | Mysql | Oracle | Php | React | SQL Server | Sql,8,8,2.0,26/06/2017,2016,FE8B715AE8,False,False,True
Ingénieur électromécanicien,Novec Sale,Salé,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac+5,Junior (1 à 3 ans),1,3,,Gestion projet / Etudes / R&D- Travaux / Chantiers / BTP- Secteur Conseil / Etudes,,,Ambition | Autonomie | Implication | Organisation | Recherche de nouveauté | Rigoureux,,0,6,1.0,20/06/2017,2016,ED9111575D,False,False,False
Ingénieurs Etude et Développement,Perenity Software,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Junior (1 à 3 ans),1,3,Français | Anglais,Informatique / Electronique- Gestion projet / Etudes / R&D- Secteur Informatique,,,Ambition | Autonomie | Communication | Esprit analytique | Implication | Organisation | Recherche de nouveauté | Travail en équipe,Java,1,8,3.0,20/06/2017,2016,A8B39611A5,False,False,False
Ingénieur Commercial,Arlia,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Confirmé (5 à 10 ans),5,10,,Chimie / Parachimie / Peintures,Commercial / Vente / Export,Commercial / Vente / Export,Ambition | Fiabilité | Persuasion | Recherche de nouveauté,,0,4,1.0,21/06/2017,2016,D450A0397B,False,False,False
Ingénieur Monéticien (H/F),Manpower Agences,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,,Banque / Finance,Informatique / Electronique,Informatique / Electronique,Ambition | Analyse | Autonomie | Communication | Gestion de projet | Implication | Organisation | Planification | Recherche de nouveauté | Réflexion,,0,10,1.0,20/06/2017,2016,8E5DD84FB0,False,False,False
Ingénieur Etude et développement scrum master Java/JEE Angular JS/ Angular,Atos,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac,Intermédiaire (3 à 5 ans),3,5,,Informatique,Informatique / Electronique,Informatique / Electronique,Ambition | Autonomie | Implication | Recherche de nouveauté | Réflexion,Angular | Java | Scrum,3,5,10.0,20/06/2017,2016,73DE8195CE,True,False,False
Developpeurs .NET Seniors en Freelance,Omnishore,Rabat,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac+5,Expert (10 à 20 ans),10,20,Français,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Analyse | Autonomie | Communication | Implication | Recherche de nouveauté | Réflexion | Travail en équipe,Oracle | Sql,2,8,10.0,20/06/2017,2016,D811D6C2A0,False,False,False
Ingénieur Java/J2ee Senior,Aria Tech,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,Français | Anglais,Internet / Multimédia- Informatique / Electronique- Secteur Informatique,,,Ambition | Autonomie | Implication | Recherche de nouveauté | Rigoureux | Réflexion,Agile | Java | Rest | Scrum | Spring,5,6,3.0,20/06/2017,2016,B7E54590FC,True,False,False
Chefs de Projets .Net,Sqli Maroc,Rabat,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac+5,Expert (10 à 20 ans),10,20,,Informatique / Electronique- Secteur Informatique,,,Ambition | Autonomie | Esprit d'équipe | Gestion de projet | Implication | Leadership | Organisation | Recherche de nouveauté | Rigoureux | Réflexion | Écoute,.NET | SQL Server | Sql | Ssas | Ssis | Ssrs,6,11,5.0,20/06/2017,2016,CDCC19528D,False,False,False
Ingénieur Réseau Télécoms en freelance,Welink,Casablanca,Casablanca-Settat,Freelance,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,Français,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Analyse | Autonomie | Communication | Implication | Recherche de nouveauté | Réflexion | Travail en équipe,Firewall,1,8,1.0,20/06/2017,2016,6C15725DE2,False,False,False
Ingénieur téléphonie SENIOR,Intelcia,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Confirmé (5 à 10 ans),5,10,Anglais,Télécom / Réseaux- Santé / Social (métiers de)- Secteur Centre d'appels,,,Analyse | Autonomie | Communication | Gestion de projet | Implication | Innovation | Management | Organisation | Recherche de nouveauté | Rigueur | Réflexion | Stress | Écoute,Mysql | Perl | Php | Python,4,13,1.0,19/06/2017,2016,9C2A0050AF,False,False,False
Technicien Contrôle Qualité Produits (O'Lab),Libya Oil Maroc,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac,Junior (1 à 3 ans),1,3,Français | Anglais,Production / Qualité / Sécurité / Maintenance- Méthodes / Process / Industrialisation- Secteur Pétrole / Gaz,,,Analyse | Organisation | Recherche de nouveauté | Rigueur | Réflexion,,0,5,1.0,19/06/2017,2016,9633B54B6B,False,False,False
Profils .NET,Sqli Maroc,Oujda,Oriental,CDI,Télétravail,1,0,Bac,Junior (1 à 3 ans),1,3,,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Autonomie | Implication | Recherche de nouveauté | Réflexion,.NET | SQL Server | Sql,3,5,4.0,19/06/2017,2016,11CEBC8B30,False,False,False
Développeurs JEE Seniors et Scrum Master-Domaine Bancaire en CDI,Welink,Rabat,Rabat-Salé-Kénitra,Freelance,Télétravail,1,0,Bac+5,Confirmé (5 à 10 ans),5,10,Français,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Analyse | Autonomie | Communication | Implication | Organisation | Recherche de nouveauté | Rigueur | Réflexion | Travail en équipe,Agile | Angular | Jenkins | Scrum | Soap,5,10,1.0,19/06/2017,2016,0BC95AD5E2,True,False,False
Technicien Support Niveau 1 (H/F),Petit Forestier,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac,Junior (1 à 3 ans),1,3,Français | Anglais,Informatique / Electronique- Centre d'appels (métiers de)- Secteur Transport / Messagerie / Logistique,,,Ambition | Autonomie | Flexibilité | Implication | Réflexion,,0,5,1.0,20/06/2017,2016,832D890877,False,False,False
Développeurs .NET Junior,Omnishore,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Débutant (-1 an),1,1,,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Analyse | Autonomie | Esprit d'équipe | Implication | Négociation | Recherche de nouveauté | Réflexion,Ssas | Ssis | Ssrs,3,8,2.0,19/06/2017,2016,AE76FF5ADE,False,False,False
